date,product_id,product_name,sales_quantity,is_promotion,is_holiday,weekday,price_euro
2024-01-01,101,Bratwurst,44,0,1,Monday,4.99
2024-01-01,102,Glühwein,2,0,1,Monday,8.5
2024-01-01,103,Pretzel,123,0,1,Monday,1.2
2024-01-01,104,German Beer (6-pack),88,0,1,Monday,12.99
2024-01-02,101,Bratwurst,47,0,0,Tuesday,4.99
2024-01-02,102,Glühwein,2,0,0,Tuesday,8.5
2024-01-02,103,Pretzel,114,0,0,Tuesday,1.2
2024-01-02,104,German Beer (6-pack),76,0,0,Tuesday,12.99
2024-01-03,101,Bratwurst,36,0,0,Wednesday,4.99
2024-01-03,102,Glühwein,2,0,0,Wednesday,8.5
2024-01-03,103,Pretzel,129,0,0,Wednesday,1.2
2024-01-03,104,German Beer (6-pack),67,0,0,Wednesday,12.99
2024-01-04,101,Bratwurst,45,0,0,Thursday,4.99
2024-01-04,102,Glühwein,1,0,0,Thursday,8.5
2024-01-04,103,Pretzel,137,0,0,Thursday,1.2
2024-01-04,104,German Beer (6-pack),78,0,0,Thursday,12.99
2024-01-05,101,Bratwurst,94,0,0,Friday,4.99
2024-01-05,102,Glühwein,3,0,0,Friday,8.5
2024-01-05,103,Pretzel,182,0,0,Friday,1.2
2024-01-05,104,German Beer (6-pack),113,0,0,Friday,12.99
2024-01-06,101,Bratwurst,70,0,0,Saturday,4.99
2024-01-06,102,Glühwein,2,0,0,Saturday,8.5
2024-01-06,103,Pretzel,169,0,0,Saturday,1.2
2024-01-06,104,German Beer (6-pack),142,0,0,Saturday,12.99
2024-01-07,101,Bratwurst,0,0,0,Sunday,4.99
2024-01-07,102,Glühwein,0,0,0,Sunday,8.5
2024-01-07,103,Pretzel,0,0,0,Sunday,1.2
2024-01-07,104,German Beer (6-pack),0,0,0,Sunday,12.99
2024-01-08,101,Bratwurst,54,0,0,Monday,4.99
2024-01-08,102,Glühwein,1,0,0,Monday,8.5
2024-01-08,103,Pretzel,122,0,0,Monday,1.2
2024-01-08,104,German Beer (6-pack),64,0,0,Monday,12.99
2024-01-09,101,Bratwurst,51,0,0,Tuesday,4.99
2024-01-09,102,Glühwein,2,0,0,Tuesday,8.5
2024-01-09,103,Pretzel,107,0,0,Tuesday,1.2
2024-01-09,104,German Beer (6-pack),67,0,0,Tuesday,12.99
2024-01-10,101,Bratwurst,47,0,0,Wednesday,4.99
2024-01-10,102,Glühwein,2,0,0,Wednesday,8.5
2024-01-10,103,Pretzel,124,0,0,Wednesday,1.2
2024-01-10,104,German Beer (6-pack),65,0,0,Wednesday,12.99
2024-01-11,101,Bratwurst,52,0,0,Thursday,4.99
2024-01-11,102,Glühwein,2,0,0,Thursday,8.5
2024-01-11,103,Pretzel,130,0,0,Thursday,1.2
2024-01-11,104,German Beer (6-pack),86,0,0,Thursday,12.99
2024-01-12,101,Bratwurst,68,0,0,Friday,4.99
2024-01-12,102,Glühwein,2,0,0,Friday,8.5
2024-01-12,103,Pretzel,185,0,0,Friday,1.2
2024-01-12,104,German Beer (6-pack),131,0,0,Friday,12.99
